r,phi
1.000000000000000e+01,0.000000000000000e+00
8.958387338015186e+00,8.031651339417660e-01
7.323171972911456e+01,4.291741704613208e+00
7.323171972911456e+01,4.291741705172608e+00
7.323171972911456e+01,4.291741705172608e+00
7.323171972911456e+01,4.291741705732009e+00
7.323171972911456e+01,4.291741705732009e+00
7.323171972911456e+01,4.291741706291409e+00
7.323171972911456e+01,4.291741706291409e+00
7.323171972911456e+01,4.291741706850810e+00
7.323171972911456e+01,4.291741706850810e+00
7.323171972911456e+01,4.291741707410210e+00
7.323171972911456e+01,4.291741707410210e+00
7.323171972911456e+01,4.291741707969611e+00
7.323171972911456e+01,4.291741707969611e+00
7.323171972911456e+01,4.291741708529011e+00
7.323171972911456e+01,4.291741708529011e+00
7.323171972911456e+01,4.291741709088412e+00
7.323171972911456e+01,4.291741709088412e+00
7.323171972911456e+01,4.291741709647813e+00
7.323171972911456e+01,4.291741709647813e+00
7.323171972911456e+01,4.291741710207213e+00
7.323171972911456e+01,4.291741710207213e+00
7.323171972911456e+01,4.291741710766614e+00
7.323171972911456e+01,4.291741710766614e+00
7.323171972911456e+01,4.291741711326014e+00
7.323171972911456e+01,4.291741711326014e+00
7.323171972911456e+01,4.291741711885415e+00
7.323171972911456e+01,4.291741711885415e+00
7.323171972911456e+01,4.291741712444815e+00
7.323171972911456e+01,4.291741712444815e+00
7.323171972911456e+01,4.291741713004216e+00
7.323171972911456e+01,4.291741713004216e+00
7.323171972911456e+01,4.291741713563616e+00
7.323171972911456e+01,4.291741713563616e+00
7.323171972911456e+01,4.291741714123017e+00
7.323171972911456e+01,4.291741714123017e+00
7.323171972911456e+01,4.291741714682417e+00
7.323171972911456e+01,4.291741714682417e+00
7.323171972911456e+01,4.291741715241818e+00
7.323171972911456e+01,4.291741715241818e+00
7.323171972911456e+01,4.291741715801218e+00
7.323171972911456e+01,4.291741715801218e+00
7.323171972911456e+01,4.291741716360619e+00
7.323171972911456e+01,4.291741716360619e+00
7.323171972911456e+01,4.291741716920019e+00
7.323171972911456e+01,4.291741716920019e+00
7.323171972911456e+01,4.291741717479420e+00
7.323171972911456e+01,4.291741717479420e+00
7.323171972911456e+01,4.291741718038820e+00
7.323171972911456e+01,4.291741718038820e+00
7.323171972911456e+01,4.291741718598221e+00
7.323171972911456e+01,4.291741718598221e+00
7.323171972911456e+01,4.291741719157621e+00
7.323171972911456e+01,4.291741719157621e+00
7.323171972911456e+01,4.291741719717022e+00
7.323171972911456e+01,4.291741719717022e+00
7.323171972911456e+01,4.291741720276423e+00
7.323171972911456e+01,4.291741720276423e+00
